CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES,SIGMA
Timerra,Elyos,1512.3,,,,,,,,1795.0,921.0,1.67
Níðhöggr (Nidhoggr),Heroes,1511.4,,,,,,,,1222.0,955.0,1.7
Loki,Heroes,1510.7,,16811.0,14745.0,4428.0,1613.0,1393.0,686.0,735.0,573.0,1.52
Corrin (M),Fates,1508.85,7691.0,2954.0,3825.0,2294.0,2027.0,2681.0,3528.0,3797.0,3012.0,1.66
Leo,Fates,1508.22,12175.0,7162.0,9836.0,3193.0,2018.0,2291.0,2967.0,2684.0,2064.0,1.9
Cordelia,Ylisse,1507.86,14362.0,9547.0,8403.0,2834.0,1902.0,1995.0,1288.0,1230.0,1077.0,1.75
Sharena,Heroes,1507.3,,5037.0,5124.0,1780.0,1097.0,1550.0,6757.0,6782.0,11381.0,1.43
Nowi,Ylisse,1506.92,10571.0,7705.0,6301.0,2596.0,1531.0,1644.0,1094.0,843.0,873.0,1.75
Nephenee,Tellius,1506.44,13473.0,5994.0,7995.0,2913.0,1855.0,2137.0,1567.0,1548.0,1373.0,1.81
Lilina,Elibe,1505.91,5730.0,7993.0,8413.0,4859.0,2759.0,3808.0,3174.0,2519.0,1869.0,1.85
Panette,Elyos,1505.59,,,,,,,,2614.0,550.0,1.41
Leif,Jugdral,1505.08,2489.0,10529.0,4155.0,1828.0,1594.0,1710.0,4924.0,5855.0,3783.0,1.54
Citrinne,Elyos,1505.0,,,,,,,,1134.0,664.0,1.68
Petra,Fodlan,1503.62,,,,4374.0,2328.0,2514.0,2338.0,1347.0,809.0,1.63
Rhea,Fodlan,1503.03,,,,5627.0,4295.0,2092.0,1298.0,936.0,661.0,1.64
Etie,Elyos,1502.55,,,,,,,,813.0,895.0,1.61
Sothis,Fodlan,1501.85,,,,6967.0,3097.0,2121.0,1400.0,913.0,731.0,1.75
Annette,Fodlan,1501.31,,,,5165.0,2299.0,2470.0,1487.0,865.0,998.0,1.61
Elincia,Tellius,1501.0,3360.0,3442.0,4391.0,2132.0,2330.0,3393.0,5405.0,3533.0,2591.0,1.6
Touma/Cain,TMS #FE,1500.37,,,,1760.0,1286.0,2219.0,2679.0,3364.0,2421.0,1.54
Ferdinand,Fodlan,1500.24,,,,4584.0,1671.0,1497.0,2916.0,984.0,661.0,1.68
Fjorm,Heroes,1500.22,,5153.0,5449.0,2654.0,1633.0,2215.0,1472.0,1478.0,1274.0,1.57
Linhardt,Fodlan,1499.0,,,,4591.0,3262.0,1493.0,1266.0,1064.0,775.0,1.55
Mercedes,Fodlan,1498.97,,,,2890.0,1796.0,1724.0,1411.0,915.0,815.0,1.79
Hubert,Fodlan,1498.5,,,,2453.0,2106.0,1887.0,1725.0,1300.0,1185.0,1.55
Pandreo,Elyos,1497.53,,,,,,,,1359.0,537.0,1.51
Nil/Rafal,Elyos,1497.47,,,,,,,,800.0,694.0,1.54
Heiðrún (Heidrun),Heroes,1497.21,,,,,,,,,542.0,1.54
Dedue,Fodlan,1496.95,,,,3495.0,7195.0,1183.0,805.0,651.0,508.0,1.42
Tiki (TMS),TMS #FE,1496.34,,,,4161.0,1591.0,1952.0,1024.0,906.0,685.0,1.59
Ayra,Jugdral,1495.66,4489.0,4800.0,5011.0,2166.0,1400.0,1830.0,1514.0,902.0,712.0,1.65
Ranulf,Tellius,1495.52,3128.0,6312.0,8464.0,1127.0,917.0,999.0,586.0,709.0,568.0,1.29
Tiki (FE01/11),Archanea,1494.61,6729.0,5309.0,6079.0,3031.0,1771.0,2216.0,932.0,752.0,654.0,1.45
Nerþuz (Nerthuz),Heroes,1494.58,,,,,,,,1096.0,535.0,1.48
Hortensia,Elyos,1494.47,,,,,,,,1594.0,522.0,1.55
Ninian,Elibe,1494.28,2799.0,6442.0,4223.0,2796.0,1498.0,1888.0,1155.0,1218.0,1020.0,1.52
Hapi,Fodlan,1494.23,,,,,3034.0,1490.0,1426.0,852.0,673.0,1.5
Caeda,Archanea,1493.99,7243.0,3999.0,5009.0,2400.0,1535.0,2761.0,2617.0,1542.0,1760.0,1.59
Constance,Fodlan,1493.82,,,,,3522.0,1476.0,1063.0,640.0,649.0,1.57
Bruno,Heroes,1492.79,,3403.0,13483.0,2831.0,1206.0,1583.0,1130.0,713.0,542.0,1.45
Plumeria,Heroes,1492.78,,,,20800.0,3875.0,1650.0,865.0,654.0,455.0,1.46
Xander,Fates,1492.64,7511.0,5669.0,4122.0,1947.0,1345.0,1979.0,912.0,891.0,893.0,1.39
Maiko,TMS #FE,1492.37,,,,2078.0,1507.0,1926.0,1007.0,918.0,853.0,1.63
Berkut,Valentia,1492.13,,4012.0,2907.0,2031.0,1526.0,1632.0,1437.0,1342.0,1109.0,1.56
Líf (Lif),Heroes,1492.08,,,11876.0,5771.0,1613.0,1222.0,812.0,619.0,577.0,1.54
Amber,Elyos,1491.64,,,,,,,,777.0,538.0,1.5
Fogado,Elyos,1491.21,,,,,,,,1086.0,431.0,1.54
Shamir,Fodlan,1490.69,,,,4452.0,1429.0,1365.0,932.0,695.0,522.0,1.57
Chloé (Chloe),Elyos,1490.64,,,,,,,,1036.0,514.0,1.45
Caspar,Fodlan,1489.53,,,,2987.0,2535.0,1214.0,876.0,668.0,525.0,1.44
Leonie,Fodlan,1488.39,,,,2503.0,1899.0,1289.0,778.0,591.0,541.0,1.49
Lyon,Magvel,1488.26,2434.0,2080.0,3128.0,1945.0,1303.0,2544.0,3580.0,3475.0,2298.0,1.33
Ryoma,Fates,1487.96,7248.0,8238.0,5367.0,1779.0,1148.0,1075.0,681.0,537.0,494.0,1.4
Laegjarn,Heroes,1487.8,,,7015.0,2753.0,1283.0,1318.0,836.0,607.0,475.0,1.43
Anna (FE17),Elyos,1487.65,,,,,,,,888.0,481.0,1.42
Henriette,Heroes,1487.56,,,,,5211.0,844.0,375.0,367.0,249.0,1.18
Lute,Magvel,1487.19,9176.0,2998.0,2369.0,3047.0,3765.0,995.0,697.0,567.0,585.0,1.42
Merrin,Elyos,1486.94,,,,,,,,1285.0,372.0,1.4
Lon'qu,Ylisse,1486.24,10002.0,2461.0,2889.0,1321.0,901.0,1026.0,691.0,742.0,720.0,1.38
Boucheron,Elyos,1486.15,,,,,,,,678.0,497.0,1.61
Catria,Archanea,1485.71,2736.0,3596.0,4844.0,2350.0,1569.0,1497.0,987.0,979.0,840.0,1.53
Severa,Ylisse,1485.53,6060.0,3275.0,4568.0,2682.0,2612.0,1821.0,1203.0,588.0,510.0,1.48
Felicia,Fates,1485.52,9121.0,4677.0,5216.0,1918.0,1111.0,1448.0,828.0,784.0,558.0,1.35
Grima,Ylisse,1485.28,2333.0,2739.0,3900.0,1517.0,1125.0,919.0,737.0,1021.0,1473.0,1.36
Lorenz (FE16),Fodlan,1485.24,,,,2668.0,1467.0,1115.0,776.0,597.0,602.0,1.45
Framme,Elyos,1485.21,,,,,,,,979.0,369.0,1.4
Morgan (F),Ylisse,1485.17,6163.0,8394.0,3649.0,1767.0,1010.0,922.0,662.0,839.0,1043.0,1.44
Mauvier,Elyos,1484.77,,,,,,,,1189.0,268.0,1.25
Owain,Ylisse,1484.56,8383.0,7835.0,3117.0,1267.0,848.0,1290.0,682.0,562.0,676.0,1.33
Finn,Jugdral,1484.44,3606.0,3969.0,2440.0,1625.0,1273.0,1362.0,1066.0,1245.0,1045.0,1.36
Yashiro/Navarre,TMS #FE,1484.39,,,,1228.0,1272.0,1260.0,739.0,683.0,535.0,1.32
Seiðr (Seidr),Heroes,1484.39,,,,,,,625.0,928.0,481.0,1.34
Celica,Valentia,1483.85,2374.0,36302.0,,,,,,,,1.24
Askr,Heroes,1483.73,,,,,,,1383.0,665.0,330.0,1.35
Zelkov,Elyos,1483.47,,,,,,,,632.0,508.0,1.32
