CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Leif,Jugdral,1890.62,2489.0,10529.0,4155.0,1828.0,1594.0,1710.0,4924.0,5855.0,3783.0
Petra,Fodlan,1887.62,,,,4374.0,2328.0,2514.0,2338.0,1347.0,809.0
Timerra,Elyos,1886.26,,,,,,,,1795.0,921.0
Nel,Elyos,1884.36,,,,,,,,1961.0,853.0
Elincia,Tellius,1880.68,3360.0,3442.0,4391.0,2132.0,2330.0,3393.0,5405.0,3533.0,2591.0
Cordelia,Ylisse,1878.27,14362.0,9547.0,8403.0,2834.0,1902.0,1995.0,1288.0,1230.0,1077.0
Nephenee,Tellius,1877.3,13473.0,5994.0,7995.0,2913.0,1855.0,2137.0,1567.0,1548.0,1373.0
Sothis,Fodlan,1873.01,,,,6967.0,3097.0,2121.0,1400.0,913.0,731.0
Lyon,Magvel,1869.23,2434.0,2080.0,3128.0,1945.0,1303.0,2544.0,3580.0,3475.0,2298.0
Níðhöggr (Nidhoggr),Heroes,1866.55,,,,,,,,1222.0,955.0
Fjorm,Heroes,1865.75,,5153.0,5449.0,2654.0,1633.0,2215.0,1472.0,1478.0,1274.0
Caeda,Archanea,1862.54,7243.0,3999.0,5009.0,2400.0,1535.0,2761.0,2617.0,1542.0,1760.0
Celica,Valentia,1860.69,2374.0,36302.0,,,,,,,
Annette,Fodlan,1857.59,,,,5165.0,2299.0,2470.0,1487.0,865.0,998.0
Rhea,Fodlan,1857.41,,,,5627.0,4295.0,2092.0,1298.0,936.0,661.0
Hubert,Fodlan,1855.78,,,,2453.0,2106.0,1887.0,1725.0,1300.0,1185.0
Ferdinand,Fodlan,1842.09,,,,4584.0,1671.0,1497.0,2916.0,984.0,661.0
Linhardt,Fodlan,1841.21,,,,4591.0,3262.0,1493.0,1266.0,1064.0,775.0
Berkut,Valentia,1840.65,,4012.0,2907.0,2031.0,1526.0,1632.0,1437.0,1342.0,1109.0
Panette,Elyos,1838.24,,,,,,,,2614.0,550.0
Mercedes,Fodlan,1836.79,,,,2890.0,1796.0,1724.0,1411.0,915.0,815.0
Plumeria,Heroes,1835.0,,,,20800.0,3875.0,1650.0,865.0,654.0,455.0
Hapi,Fodlan,1833.71,,,,,3034.0,1490.0,1426.0,852.0,673.0
Tiki (FE01/11),Archanea,1829.34,6729.0,5309.0,6079.0,3031.0,1771.0,2216.0,932.0,752.0,654.0
Ninian,Elibe,1828.51,2799.0,6442.0,4223.0,2796.0,1498.0,1888.0,1155.0,1218.0,1020.0
Tiki (TMS),TMS #FE,1828.38,,,,4161.0,1591.0,1952.0,1024.0,906.0,685.0
Hortensia,Elyos,1827.49,,,,,,,,1594.0,522.0
Ayra,Jugdral,1825.91,4489.0,4800.0,5011.0,2166.0,1400.0,1830.0,1514.0,902.0,712.0
Citrinne,Elyos,1823.06,,,,,,,,1134.0,664.0
Nowi,Ylisse,1820.51,10571.0,7705.0,6301.0,2596.0,1531.0,1644.0,1094.0,843.0,873.0
Pandreo,Elyos,1819.96,,,,,,,,1359.0,537.0
Severa,Ylisse,1819.85,6060.0,3275.0,4568.0,2682.0,2612.0,1821.0,1203.0,588.0,510.0
Etie,Elyos,1819.56,,,,,,,,813.0,895.0
Xander,Fates,1818.22,7511.0,5669.0,4122.0,1947.0,1345.0,1979.0,912.0,891.0,893.0
Loki,Heroes,1817.26,,16811.0,14745.0,4428.0,1613.0,1393.0,686.0,735.0,573.0
Constance,Fodlan,1817.03,,,,,3522.0,1476.0,1063.0,640.0,649.0
Maiko,TMS #FE,1812.69,,,,2078.0,1507.0,1926.0,1007.0,918.0,853.0
Caspar,Fodlan,1807.55,,,,2987.0,2535.0,1214.0,876.0,668.0,525.0
Merrin,Elyos,1806.02,,,,,,,,1285.0,372.0
Finn,Jugdral,1804.82,3606.0,3969.0,2440.0,1625.0,1273.0,1362.0,1066.0,1245.0,1045.0
Reinhardt,Jugdral,1804.52,137.0,15931.0,10793.0,4963.0,2339.0,2377.0,2227.0,1242.0,1348.0
Líf (Lif),Heroes,1800.91,,,11876.0,5771.0,1613.0,1222.0,812.0,619.0,577.0
Nerþuz (Nerthuz),Heroes,1798.02,,,,,,,,1096.0,535.0
Felicia,Fates,1797.14,9121.0,4677.0,5216.0,1918.0,1111.0,1448.0,828.0,784.0,558.0
Chloé (Chloe),Elyos,1792.65,,,,,,,,1036.0,514.0
Grima,Ylisse,1790.42,2333.0,2739.0,3900.0,1517.0,1125.0,919.0,737.0,1021.0,1473.0
Leonie,Fodlan,1786.13,,,,2503.0,1899.0,1289.0,778.0,591.0,541.0
Lute,Magvel,1783.37,9176.0,2998.0,2369.0,3047.0,3765.0,995.0,697.0,567.0,585.0
Catria,Archanea,1783.28,2736.0,3596.0,4844.0,2350.0,1569.0,1497.0,987.0,979.0,840.0
Nil/Rafal,Elyos,1782.25,,,,,,,,800.0,694.0
Kagetsu,Elyos,1778.45,,,,,,,,971.0,333.0
Laegjarn,Heroes,1777.7,,,7015.0,2753.0,1283.0,1318.0,836.0,607.0,475.0
Fogado,Elyos,1776.92,,,,,,,,1086.0,431.0
Morgan (F),Ylisse,1775.66,6163.0,8394.0,3649.0,1767.0,1010.0,922.0,662.0,839.0,1043.0
Zelgius,Tellius,1774.96,1488.0,2054.0,4884.0,2441.0,1638.0,1507.0,1035.0,747.0,572.0
Shamir,Fodlan,1774.46,,,,4452.0,1429.0,1365.0,932.0,695.0,522.0
Bruno,Heroes,1768.94,,3403.0,13483.0,2831.0,1206.0,1583.0,1130.0,713.0,542.0
Yashiro/Navarre,TMS #FE,1768.19,,,,1228.0,1272.0,1260.0,739.0,683.0,535.0
Henry,Ylisse,1767.71,12131.0,3101.0,2594.0,1242.0,928.0,1029.0,616.0,615.0,792.0
Amber,Elyos,1767.51,,,,,,,,777.0,538.0
Anna (FE17),Elyos,1767.22,,,,,,,,888.0,481.0
Dedue,Fodlan,1766.87,,,,3495.0,7195.0,1183.0,805.0,651.0,508.0
Ryoma,Fates,1766.42,7248.0,8238.0,5367.0,1779.0,1148.0,1075.0,681.0,537.0,494.0
Sakura,Fates,1765.61,7782.0,3146.0,3120.0,1467.0,985.0,1154.0,674.0,678.0,695.0
Ishtar,Jugdral,1761.96,2076.0,4935.0,5387.0,1870.0,1049.0,1258.0,712.0,689.0,557.0
Framme,Elyos,1761.08,,,,,,,,979.0,369.0
Soleil,Fates,1760.72,4333.0,2773.0,2772.0,4639.0,1061.0,1226.0,709.0,574.0,501.0
Lon'qu,Ylisse,1760.63,10002.0,2461.0,2889.0,1321.0,901.0,1026.0,691.0,742.0,720.0
Lorenz (FE16),Fodlan,1760.14,,,,2668.0,1467.0,1115.0,776.0,597.0,602.0
Zelkov,Elyos,1759.92,,,,,,,,632.0,508.0
Owain,Ylisse,1759.58,8383.0,7835.0,3117.0,1267.0,848.0,1290.0,682.0,562.0,676.0
Myrrh,Magvel,1759.45,2317.0,4688.0,5087.0,2066.0,1160.0,1447.0,816.0,597.0,521.0
Heiðrún (Heidrun),Heroes,1758.4,,,,,,,,,542.0
Selkie,Fates,1754.97,4800.0,8855.0,9770.0,1566.0,763.0,725.0,450.0,402.0,412.0
Seiðr (Seidr),Heroes,1752.05,,,,,,,625.0,928.0,481.0
Mauvier,Elyos,1750.3,,,,,,,,1189.0,268.0
Boucheron,Elyos,1750.21,,,,,,,,678.0,497.0
Askr,Heroes,1749.07,,,,,,,1383.0,665.0,330.0
Ranulf,Tellius,1741.54,3128.0,6312.0,8464.0,1127.0,917.0,999.0,586.0,709.0,568.0
Arval,Fodlan,1740.48,,,,,,,1247.0,564.0,370.0
Marisa,Magvel,1738.47,5398.0,4293.0,2565.0,1694.0,813.0,1006.0,639.0,611.0,627.0
Hræsvelgr (Hraesvelgr),Heroes,1738.31,,,,,,,,769.0,284.0
Joshua,Magvel,1738.26,8623.0,2587.0,2609.0,2575.0,723.0,766.0,568.0,428.0,462.0
Minerva,Archanea,1735.51,3422.0,2390.0,2911.0,1294.0,787.0,870.0,685.0,585.0,523.0
Seth,Magvel,1733.31,3763.0,1524.0,1562.0,883.0,576.0,1616.0,691.0,700.0,593.0
Altina,Tellius,1725.81,,,,,1111.0,656.0,756.0,773.0,434.0
Hinoka,Fates,1724.12,6851.0,4489.0,3538.0,1345.0,909.0,833.0,483.0,496.0,391.0
Griss,Elyos,1723.08,,,,,,,,605.0,356.0
Jade,Elyos,1722.12,,,,,,,,532.0,382.0
Elise,Fates,1716.79,8962.0,4644.0,2783.0,1083.0,755.0,781.0,537.0,481.0,459.0
Athos,Elibe,1716.48,591.0,1499.0,2080.0,1409.0,907.0,982.0,655.0,630.0,645.0
Stefan,Tellius,1715.04,1225.0,1003.0,1317.0,871.0,765.0,914.0,650.0,913.0,939.0
Anna (Heroes),Heroes,1713.22,,3224.0,13224.0,3070.0,638.0,748.0,519.0,376.0,493.0
Tibarn,Tellius,1711.72,2710.0,6611.0,3223.0,1646.0,1061.0,901.0,507.0,469.0,402.0
Inigo,Ylisse,1708.8,4599.0,2148.0,1940.0,867.0,738.0,711.0,555.0,360.0,402.0
Ash,Heroes,1705.14,,,,,,1242.0,715.0,346.0,314.0
Katarina,Archanea,1704.55,2162.0,1750.0,2288.0,1024.0,799.0,709.0,519.0,503.0,514.0
Scarlet,Fates,1704.32,1848.0,1417.0,1696.0,696.0,647.0,944.0,801.0,641.0,648.0
Mist,Tellius,1703.03,2972.0,1444.0,1765.0,1021.0,746.0,814.0,593.0,621.0,582.0
Kvasir,Heroes,1697.86,,,,,,,,749.0,222.0
Henriette,Heroes,1695.52,,,,,5211.0,844.0,375.0,367.0,249.0
Ilyana,Tellius,1694.84,3554.0,3485.0,4022.0,1469.0,577.0,567.0,393.0,369.0,367.0
Kiria/Tharja,TMS #FE,1693.7,,,,1589.0,830.0,792.0,408.0,370.0,285.0
Fae,Elibe,1693.38,1332.0,3521.0,2245.0,1078.0,793.0,768.0,518.0,441.0,455.0
Louis,Elyos,1691.39,,,,,,,,614.0,294.0
Cherche,Ylisse,1689.8,4498.0,2108.0,5473.0,946.0,709.0,976.0,397.0,376.0,294.0
Delthea,Valentia,1689.1,346.0,5643.0,3331.0,1386.0,826.0,887.0,602.0,508.0,513.0
Julia,Jugdral,1688.96,624.0,1749.0,1888.0,1109.0,1340.0,1207.0,1000.0,780.0,614.0
Gregory,Elyos,1688.93,,,,,,,,533.0,256.0
Charlotte,Fates,1688.78,3924.0,3521.0,3704.0,1687.0,1438.0,579.0,342.0,299.0,266.0
L'Arachel,Magvel,1688.65,2425.0,2338.0,1495.0,714.0,585.0,1039.0,762.0,793.0,519.0
Clanne,Elyos,1688.08,,,,,,,,602.0,227.0
Niles,Fates,1688.04,8703.0,3237.0,2332.0,1010.0,683.0,745.0,479.0,444.0,325.0
Boyd,Tellius,1687.82,1201.0,1252.0,1406.0,1101.0,1042.0,1454.0,462.0,418.0,388.0
Thórr (Thorr),Heroes,1686.94,,,,,,1148.0,457.0,350.0,314.0
Palla,Archanea,1686.55,1316.0,1509.0,2171.0,789.0,580.0,713.0,504.0,441.0,448.0
Lumera,Elyos,1685.76,,,,,,,,461.0,298.0
Eldigan,Jugdral,1685.16,2256.0,1621.0,2574.0,1106.0,747.0,757.0,447.0,428.0,367.0
Rodrigue,Fodlan,1684.73,,,,796.0,694.0,595.0,605.0,463.0,561.0
Kagero,Fates,1683.16,3265.0,2821.0,2146.0,939.0,585.0,744.0,412.0,407.0,287.0
Shinon,Tellius,1681.67,2753.0,2273.0,3139.0,2576.0,656.0,669.0,405.0,411.0,411.0
Olivia,Ylisse,1679.87,5889.0,2615.0,2628.0,1104.0,602.0,697.0,515.0,448.0,346.0
Laevatein,Heroes,1678.84,,7199.0,4603.0,1363.0,719.0,723.0,396.0,258.0,237.0
Jeritza,Fodlan,1677.74,,,,935.0,712.0,759.0,521.0,410.0,393.0
Jill,Tellius,1677.69,2975.0,3854.0,4872.0,6999.0,470.0,534.0,313.0,307.0,286.0
Navarre,Archanea,1676.8,3374.0,1699.0,2437.0,1289.0,612.0,707.0,459.0,421.0,424.0
Ogma,Archanea,1675.09,3189.0,1450.0,2044.0,1141.0,738.0,653.0,434.0,383.0,341.0
Jean,Elyos,1673.74,,,,,,,,438.0,305.0
Ophelia,Fates,1673.45,3639.0,3812.0,2623.0,982.0,575.0,611.0,398.0,306.0,274.0
Seiros,Fodlan,1672.98,,,,4145.0,2861.0,979.0,393.0,272.0,240.0
Titania,Tellius,1670.31,3757.0,1311.0,1611.0,718.0,377.0,512.0,433.0,530.0,381.0
Arvis,Jugdral,1669.69,1150.0,1058.0,1387.0,879.0,761.0,934.0,607.0,583.0,623.0
Seteth,Fodlan,1667.09,,,,2954.0,584.0,561.0,369.0,356.0,242.0
Lissa,Ylisse,1665.03,5279.0,2068.0,1944.0,916.0,570.0,784.0,421.0,379.0,330.0
Lewyn,Jugdral,1664.44,1626.0,3579.0,1533.0,929.0,668.0,542.0,347.0,293.0,256.0
Faye,Valentia,1661.16,,2854.0,1978.0,1292.0,745.0,624.0,368.0,345.0,353.0
Beruka,Fates,1660.99,2561.0,1357.0,1497.0,697.0,560.0,595.0,399.0,488.0,453.0
Manuela,Fodlan,1660.89,,,,1133.0,941.0,806.0,386.0,297.0,299.0
Gaius,Ylisse,1658.99,9465.0,1827.0,1605.0,749.0,532.0,465.0,362.0,334.0,350.0
Volug,Tellius,1658.1,838.0,839.0,1100.0,684.0,507.0,822.0,576.0,482.0,396.0
Sonia,Elibe,1657.68,665.0,771.0,1069.0,771.0,1109.0,1410.0,2218.0,2272.0,150.0
Sothe,Tellius,1657.21,3332.0,1133.0,1521.0,974.0,618.0,698.0,443.0,392.0,327.0
Heiðr (Heidr),Heroes,1656.97,,,,,,,904.0,430.0,166.0
Amelia,Magvel,1656.49,3214.0,2098.0,1667.0,862.0,458.0,708.0,427.0,326.0,416.0
Idunn,Elibe,1655.89,1026.0,1697.0,3222.0,1505.0,733.0,769.0,467.0,462.0,394.0
Sanaki,Tellius,1654.57,1828.0,1955.0,1555.0,961.0,544.0,602.0,383.0,353.0,276.0
Triandra,Heroes,1652.51,,,,3889.0,805.0,487.0,309.0,225.0,197.0
Larcei,Jugdral,1652.43,1876.0,1508.0,2514.0,896.0,566.0,556.0,322.0,429.0,259.0
Sophia,Elibe,1652.34,3150.0,1436.0,1491.0,847.0,568.0,551.0,390.0,380.0,352.0
Peri,Fates,1652.32,3892.0,1483.0,1573.0,697.0,550.0,550.0,363.0,403.0,330.0
Rutger,Elibe,1650.66,2297.0,1561.0,1901.0,551.0,488.0,541.0,343.0,322.0,346.0
Wrys,Archanea,1650.65,2669.0,4838.0,3777.0,836.0,415.0,543.0,276.0,236.0,243.0
Eir,Heroes,1649.46,,,6224.0,1222.0,491.0,510.0,303.0,253.0,216.0
Tana,Magvel,1648.19,2849.0,1979.0,1495.0,1129.0,454.0,542.0,404.0,276.0,269.0
Flame Emperor,Fodlan,1646.53,,,,759.0,622.0,,,,
Donnel,Ylisse,1643.89,10479.0,1876.0,1835.0,824.0,439.0,635.0,429.0,264.0,294.0
Edward,Tellius,1643.32,1446.0,1103.0,1138.0,818.0,670.0,836.0,724.0,660.0,172.0
Fir,Elibe,1642.83,1818.0,1434.0,1739.0,865.0,648.0,673.0,437.0,371.0,336.0
Rinea,Valentia,1642.37,,3206.0,4699.0,660.0,396.0,488.0,323.0,355.0,303.0
Mitama,Fates,1642.2,1051.0,714.0,857.0,414.0,535.0,901.0,659.0,446.0,348.0
