CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Raven,Elibe,1588.04,2233.0,978.0,972.0,572.0,398.0,352.0,313.0,262.0,307.0
Noire,Ylisse,1587.78,2786.0,2227.0,1138.0,485.0,361.0,429.0,267.0,279.0,151.0
Flora,Fates,1587.71,2939.0,2932.0,1115.0,560.0,343.0,389.0,239.0,248.0,171.0
Frederick,Ylisse,1586.76,3913.0,1268.0,1039.0,483.0,370.0,376.0,255.0,240.0,186.0
Aversa,Ylisse,1585.77,2538.0,5033.0,1998.0,618.0,340.0,333.0,255.0,180.0,133.0
Jaffar,Elibe,1585.61,3921.0,1456.0,1438.0,627.0,384.0,404.0,225.0,212.0,225.0
Franz,Magvel,1584.53,615.0,430.0,496.0,467.0,367.0,502.0,402.0,323.0,380.0
Monica (Hopes),Fodlan,1583.73,,,,,,,,293.0,117.0
Deirdre,Jugdral,1583.39,492.0,916.0,1013.0,624.0,365.0,488.0,329.0,275.0,276.0
Nah,Ylisse,1580.21,2003.0,2116.0,2909.0,381.0,233.0,263.0,238.0,186.0,131.0
Gilliam,Magvel,1580.02,1142.0,918.0,848.0,693.0,554.0,607.0,426.0,94.0,65.0
Balthus,Fodlan,1578.78,,,,,1147.0,351.0,299.0,204.0,139.0
Nyx,Fates,1578.46,2562.0,2231.0,2613.0,1465.0,1123.0,262.0,191.0,159.0,165.0
Caineghis,Tellius,1577.59,961.0,1954.0,3294.0,530.0,239.0,268.0,220.0,257.0,118.0
Pelleas,Tellius,1577.53,608.0,698.0,846.0,965.0,948.0,336.0,110.0,162.0,150.0
Python,Valentia,1576.87,86.0,2354.0,2630.0,398.0,312.0,362.0,250.0,216.0,259.0
Gordin,Archanea,1575.61,982.0,640.0,697.0,422.0,380.0,364.0,229.0,252.0,236.0
Laslow,Fates,1574.93,4287.0,1070.0,777.0,420.0,299.0,360.0,309.0,188.0,175.0
Nemesis,Fodlan,1573.9,,,,1427.0,299.0,356.0,175.0,139.0,153.0
Oboro,Fates,1571.31,4783.0,1479.0,1406.0,549.0,366.0,315.0,227.0,210.0,179.0
Cornelia,Fodlan,1570.66,,,,1159.0,612.0,794.0,404.0,83.0,74.0
Guy,Elibe,1570.56,1889.0,1400.0,1289.0,793.0,646.0,663.0,127.0,103.0,1073.0
Vaike,Ylisse,1570.03,1096.0,668.0,771.0,470.0,388.0,507.0,405.0,495.0,61.0
Alois,Fodlan,1569.52,,,,564.0,369.0,360.0,210.0,196.0,175.0
Vander,Elyos,1568.78,,,,,,,,215.0,158.0
Aran,Tellius,1568.68,648.0,499.0,427.0,315.0,285.0,320.0,247.0,222.0,260.0
Selena (FE14),Fates,1568.64,4683.0,1650.0,1462.0,554.0,410.0,399.0,216.0,168.0,180.0
Rebecca,Elibe,1568.61,2414.0,679.0,787.0,495.0,280.0,565.0,316.0,181.0,142.0
Kliff,Valentia,1568.23,239.0,5995.0,1680.0,811.0,482.0,463.0,288.0,251.0,223.0
Serra,Elibe,1567.38,2203.0,750.0,715.0,428.0,345.0,250.0,202.0,244.0,236.0
Silas,Fates,1566.37,2683.0,2032.0,837.0,344.0,311.0,373.0,232.0,213.0,164.0
Þjazi (Thjazi),Heroes,1564.42,,,,,,,,,160.0
Meg,Tellius,1564.38,516.0,767.0,420.0,340.0,219.0,491.0,270.0,293.0,233.0
Njörðr (Njordr),Heroes,1564.13,,,,,,,,187.0,153.0
Reyson,Tellius,1563.05,982.0,2415.0,865.0,427.0,213.0,243.0,141.0,177.0,162.0
Michalis,Archanea,1562.19,610.0,1140.0,992.0,489.0,354.0,413.0,243.0,192.0,144.0
Kana (F),Fates,1560.19,2837.0,3199.0,1173.0,451.0,272.0,328.0,252.0,205.0,172.0
Patty,Jugdral,1559.74,448.0,536.0,749.0,757.0,527.0,593.0,519.0,100.0,106.0
Jeorge,Archanea,1559.62,1214.0,965.0,904.0,586.0,374.0,380.0,236.0,232.0,183.0
Ginnungagap,Heroes,1559.01,,,,,,,,264.0,118.0
Seadall,Elyos,1558.65,,,,,,,,218.0,136.0
Canas,Elibe,1558.03,2450.0,2827.0,831.0,474.0,299.0,352.0,264.0,243.0,216.0
Anna (FE14),Fates,1557.73,5065.0,1953.0,4031.0,880.0,273.0,360.0,264.0,106.0,96.0
Kronya,Fodlan,1557.48,,,,684.0,287.0,424.0,275.0,176.0,181.0
Reina,Fates,1556.53,931.0,1291.0,991.0,550.0,394.0,628.0,492.0,84.0,97.0
Lambert,Fodlan,1555.6,,,,284.0,277.0,811.0,304.0,237.0,173.0
Erk,Elibe,1554.42,1951.0,1912.0,2040.0,1445.0,1085.0,229.0,125.0,128.0,122.0
Jeralt,Fodlan,1554.09,,,,1098.0,723.0,997.0,192.0,102.0,74.0
Subaki,Fates,1553.84,1768.0,839.0,764.0,410.0,354.0,369.0,181.0,164.0,171.0
Cormag,Magvel,1553.08,1308.0,2433.0,2943.0,285.0,202.0,267.0,234.0,201.0,185.0
Panne,Ylisse,1553.05,3061.0,4930.0,4774.0,403.0,210.0,274.0,173.0,118.0,89.0
Dieck,Elibe,1552.43,1176.0,980.0,1231.0,1071.0,227.0,305.0,194.0,145.0,72.0
Genny,Valentia,1552.21,135.0,2482.0,1731.0,560.0,406.0,444.0,257.0,223.0,198.0
Stahl,Ylisse,1551.58,2611.0,686.0,666.0,384.0,360.0,294.0,211.0,208.0,200.0
Maribelle,Ylisse,1550.97,3701.0,4662.0,770.0,302.0,197.0,244.0,174.0,150.0,172.0
Letizia,Heroes,1550.48,,,,,,1066.0,178.0,122.0,118.0
Janaff,Tellius,1548.31,486.0,467.0,548.0,330.0,336.0,355.0,274.0,263.0,286.0
Nils,Elibe,1547.96,730.0,3021.0,3140.0,2336.0,196.0,209.0,138.0,104.0,121.0
Læraðr (Laeradr),Heroes,1547.16,,,,,,,,,144.0
Marni,Elyos,1546.85,,,,,,,,187.0,143.0
Julius,Jugdral,1545.91,349.0,963.0,504.0,472.0,318.0,359.0,235.0,222.0,205.0
Nyna,Archanea,1545.5,446.0,1114.0,1428.0,792.0,417.0,712.0,98.0,77.0,67.0
Pent,Elibe,1545.5,1331.0,2239.0,2619.0,579.0,377.0,143.0,106.0,91.0,77.0
Shanna,Elibe,1545.12,1609.0,1200.0,944.0,503.0,380.0,365.0,235.0,261.0,205.0
Limstella,Elibe,1544.2,690.0,928.0,1180.0,803.0,725.0,756.0,151.0,88.0,69.0
Gustav,Heroes,1543.65,,,,,902.0,483.0,183.0,148.0,123.0
Ares,Jugdral,1543.22,564.0,705.0,742.0,426.0,301.0,315.0,269.0,199.0,178.0
Garcia,Magvel,1543.03,1093.0,287.0,301.0,242.0,262.0,402.0,258.0,356.0,286.0
Orochi,Fates,1542.77,1617.0,1516.0,1896.0,788.0,654.0,174.0,112.0,113.0,66.0
Ymir (Heroes),Heroes,1542.57,,,,,,,301.0,212.0,83.0
Kellam,Ylisse,1541.58,2129.0,1003.0,1014.0,489.0,328.0,446.0,397.0,80.0,112.0
Kieran,Tellius,1539.93,677.0,444.0,508.0,341.0,336.0,341.0,236.0,296.0,314.0
Lilith,Fates,1539.23,2279.0,2773.0,3495.0,1489.0,206.0,192.0,128.0,100.0,82.0
Reginn,Heroes,1539.12,,,,,802.0,522.0,189.0,121.0,106.0
Clair,Valentia,1538.46,124.0,1270.0,1222.0,508.0,293.0,375.0,292.0,257.0,295.0
Zihark,Tellius,1537.99,1552.0,792.0,1024.0,717.0,189.0,206.0,132.0,174.0,172.0
Kris (F),Archanea,1536.87,373.0,600.0,1034.0,688.0,294.0,257.0,190.0,199.0,289.0
Peony,Heroes,1535.58,,,,855.0,264.0,266.0,190.0,187.0,114.0
Kaden,Fates,1534.73,3836.0,4763.0,3817.0,466.0,210.0,228.0,123.0,112.0,130.0
Lehran,Tellius,1533.33,,,,,282.0,389.0,238.0,153.0,137.0
Sonya,Valentia,1533.09,167.0,1706.0,1286.0,676.0,352.0,451.0,194.0,174.0,185.0
Clarisse,Archanea,1532.7,335.0,502.0,603.0,388.0,418.0,421.0,254.0,281.0,265.0
Freyr,Heroes,1531.74,,,,963.0,551.0,385.0,281.0,91.0,60.0
Shannan,Jugdral,1531.65,531.0,852.0,1824.0,403.0,256.0,227.0,158.0,146.0,174.0
Sephiran,Tellius,1531.24,447.0,812.0,1135.0,1409.0,274.0,221.0,139.0,190.0,138.0
Vanessa,Magvel,1528.89,784.0,580.0,700.0,589.0,443.0,618.0,508.0,79.0,79.0
Hel,Heroes,1528.52,,,3964.0,1287.0,193.0,192.0,108.0,69.0,83.0
Arthur (FE04),Jugdral,1527.9,707.0,483.0,747.0,682.0,566.0,524.0,93.0,105.0,108.0
Oifey,Jugdral,1527.55,165.0,113.0,279.0,252.0,272.0,314.0,258.0,256.0,319.0
Judith,Fodlan,1526.07,,,,313.0,242.0,340.0,243.0,172.0,129.0
Arden,Jugdral,1525.9,3094.0,510.0,584.0,361.0,266.0,271.0,183.0,184.0,143.0
Leanne,Tellius,1524.63,1437.0,2931.0,1368.0,403.0,199.0,255.0,145.0,144.0,114.0
Igrene,Elibe,1523.93,322.0,296.0,436.0,208.0,223.0,437.0,380.0,322.0,141.0
Olwen,Jugdral,1523.84,885.0,898.0,576.0,339.0,213.0,227.0,184.0,230.0,205.0
Say'ri,Ylisse,1523.38,1756.0,1344.0,1721.0,957.0,137.0,147.0,106.0,93.0,80.0
Conrad,Valentia,1523.32,,2369.0,3152.0,418.0,174.0,208.0,156.0,141.0,87.0
Brigid,Jugdral,1523.28,158.0,550.0,1012.0,1026.0,603.0,154.0,143.0,134.0,45.0
Skrimir,Tellius,1523.21,244.0,435.0,790.0,376.0,279.0,386.0,435.0,234.0,179.0
Zephia,Elyos,1522.04,,,,,,,,158.0,107.0
Midori,Fates,1521.44,1333.0,874.0,1061.0,610.0,160.0,138.0,124.0,76.0,92.0
Layla,Fates,1520.15,1090.0,637.0,637.0,400.0,159.0,237.0,138.0,126.0,108.0
Zephiel (FE06),Elibe,1519.46,808.0,704.0,711.0,393.0,257.0,258.0,180.0,164.0,130.0
Ursula,Elibe,1519.13,1534.0,952.0,728.0,395.0,277.0,239.0,202.0,165.0,137.0
Elena,Tellius,1518.84,250.0,377.0,300.0,262.0,168.0,220.0,152.0,325.0,263.0
Wil,Elibe,1516.75,1007.0,565.0,476.0,365.0,372.0,428.0,320.0,62.0,58.0
Saizo,Fates,1516.69,2221.0,560.0,654.0,330.0,362.0,367.0,294.0,166.0,139.0
Tatiana,Valentia,1515.97,59.0,1245.0,1555.0,983.0,772.0,195.0,138.0,79.0,80.0
Athena,Archanea,1515.77,920.0,655.0,785.0,352.0,221.0,214.0,161.0,118.0,140.0
Ismaire,Magvel,1515.63,308.0,468.0,542.0,306.0,282.0,429.0,234.0,234.0,243.0
Nailah,Tellius,1515.37,1206.0,2086.0,1368.0,446.0,172.0,341.0,148.0,188.0,91.0
Sophie,Fates,1515.18,913.0,600.0,619.0,471.0,230.0,266.0,216.0,133.0,156.0
Bunet,Elyos,1513.6,,,,,,,,158.0,99.0
Innes,Magvel,1512.13,1499.0,794.0,851.0,415.0,213.0,325.0,183.0,194.0,149.0
Kent,Elibe,1510.44,991.0,627.0,594.0,457.0,427.0,565.0,84.0,92.0,76.0
Emmeryn,Ylisse,1509.53,1325.0,1713.0,2419.0,1117.0,120.0,126.0,94.0,96.0,82.0
Naga,Ylisse,1509.2,1150.0,1965.0,3454.0,396.0,147.0,128.0,127.0,91.0,84.0
Fiora,Elibe,1509.02,1246.0,883.0,1092.0,389.0,207.0,220.0,141.0,124.0,128.0
Erinys,Jugdral,1507.17,545.0,443.0,1015.0,977.0,646.0,224.0,137.0,142.0,106.0
Kurthnaga,Tellius,1507.07,346.0,731.0,928.0,715.0,425.0,181.0,93.0,124.0,106.0
Cynthia,Ylisse,1506.47,2069.0,1240.0,1556.0,263.0,143.0,144.0,115.0,123.0,123.0
Oswin,Elibe,1506.07,598.0,530.0,548.0,390.0,240.0,322.0,220.0,205.0,29.0
Marcia,Tellius,1505.77,1352.0,748.0,860.0,571.0,649.0,184.0,124.0,112.0,113.0
Karla,Elibe,1504.83,653.0,884.0,644.0,279.0,227.0,300.0,142.0,169.0,151.0
Odin,Fates,1504.76,3256.0,764.0,623.0,260.0,214.0,193.0,154.0,139.0,106.0
Heather,Tellius,1504.72,599.0,534.0,703.0,426.0,306.0,511.0,376.0,100.0,65.0
Wolf,Archanea,1504.12,906.0,924.0,973.0,610.0,453.0,164.0,146.0,95.0,158.0
Izana,Fates,1504.0,790.0,498.0,670.0,294.0,232.0,314.0,214.0,159.0,122.0
Moulder,Magvel,1502.66,635.0,384.0,361.0,211.0,174.0,323.0,181.0,177.0,136.0
Rhys,Tellius,1501.65,734.0,459.0,575.0,462.0,210.0,220.0,151.0,130.0,136.0
Ross,Magvel,1500.69,2234.0,2205.0,2014.0,286.0,115.0,194.0,105.0,127.0,93.0
Mila,Valentia,1500.08,,1953.0,2670.0,1741.0,167.0,180.0,91.0,65.0,50.0
Caeldori,Fates,1498.25,3149.0,1832.0,1560.0,472.0,283.0,344.0,103.0,71.0,41.0
Anna (FE01/11),Archanea,1497.73,1422.0,890.0,2007.0,650.0,169.0,219.0,119.0,73.0,92.0
Priscilla,Elibe,1497.04,1334.0,682.0,473.0,272.0,157.0,224.0,141.0,123.0,125.0
Knoll,Magvel,1495.0,997.0,1894.0,1346.0,983.0,176.0,189.0,133.0,148.0,92.0
Brom,Tellius,1494.6,486.0,300.0,319.0,212.0,205.0,253.0,197.0,328.0,181.0
Etzel,Archanea,1493.75,666.0,461.0,434.0,297.0,245.0,261.0,216.0,175.0,214.0
Saber,Valentia,1492.94,156.0,807.0,653.0,339.0,217.0,358.0,208.0,199.0,101.0
Thea (Thite),Elibe,1492.76,685.0,537.0,659.0,178.0,181.0,193.0,182.0,132.0,92.0
Cecilia,Elibe,1492.45,1029.0,825.0,560.0,295.0,224.0,270.0,153.0,147.0,148.0
Vika,Tellius,1492.21,681.0,799.0,1007.0,593.0,458.0,157.0,88.0,94.0,99.0
Linoan,Jugdral,1491.8,223.0,241.0,367.0,306.0,279.0,287.0,257.0,323.0,245.0
Shigure,Fates,1491.35,1524.0,1061.0,642.0,290.0,180.0,173.0,127.0,174.0,127.0
Nagi,Archanea,1490.67,784.0,1337.0,1568.0,498.0,164.0,195.0,125.0,77.0,66.0
Hardin,Archanea,1490.25,580.0,1236.0,1020.0,516.0,326.0,454.0,80.0,70.0,67.0
Monica (FE16),Fodlan,1490.18,,,,348.0,224.0,307.0,1053.0,39.0,42.0
Azelle,Jugdral,1488.6,542.0,483.0,895.0,771.0,621.0,142.0,116.0,94.0,93.0
Hanneman,Fodlan,1487.17,,,,249.0,182.0,270.0,209.0,161.0,140.0
Anna (FE16),Fodlan,1487.0,,,,1292.0,302.0,277.0,125.0,71.0,50.0
Morion,Elyos,1486.96,,,,,,,,142.0,79.0
Muarim,Tellius,1486.17,574.0,633.0,754.0,489.0,380.0,405.0,107.0,108.0,76.0
Raigh,Elibe,1486.03,940.0,313.0,329.0,250.0,195.0,166.0,173.0,183.0,199.0
Count Bergliez,Fodlan,1485.58,,,,,,,204.0,76.0,76.0
Quan,Jugdral,1485.34,823.0,2239.0,605.0,339.0,197.0,191.0,131.0,108.0,102.0
Miklan,Fodlan,1485.31,,,,266.0,204.0,200.0,184.0,168.0,167.0
Tine,Jugdral,1485.18,490.0,448.0,757.0,825.0,625.0,677.0,112.0,121.0,95.0
Colm,Magvel,1484.83,1267.0,847.0,909.0,696.0,417.0,109.0,65.0,62.0,73.0
Karel (FE06),Elibe,1484.77,270.0,261.0,324.0,250.0,200.0,207.0,152.0,126.0,134.0
Ylgr,Heroes,1484.73,,,1912.0,430.0,165.0,181.0,117.0,94.0,109.0
Selena (FE08),Magvel,1484.57,619.0,1236.0,3412.0,4469.0,145.0,170.0,106.0,92.0,85.0
Geoffrey,Tellius,1484.1,583.0,554.0,695.0,417.0,393.0,383.0,259.0,55.0,42.0
Leonardo,Tellius,1482.96,398.0,261.0,255.0,194.0,176.0,350.0,295.0,350.0,47.0
Neimi,Magvel,1482.84,999.0,763.0,781.0,511.0,390.0,137.0,89.0,83.0,165.0
Gangrel,Ylisse,1482.8,1101.0,684.0,927.0,634.0,154.0,155.0,111.0,91.0,83.0
Catherine,Fodlan,1482.69,,,,1232.0,200.0,225.0,128.0,120.0,90.0
Silque,Valentia,1482.08,169.0,1720.0,2513.0,316.0,197.0,211.0,106.0,118.0,108.0
Priam,Ylisse,1481.84,1556.0,1214.0,1704.0,835.0,611.0,131.0,84.0,83.0,70.0
Narcian,Elibe,1481.8,1060.0,648.0,512.0,345.0,196.0,337.0,149.0,131.0,109.0
Uther,Elibe,1481.66,,,,,328.0,257.0,185.0,214.0,30.0
Brigand Boss,Valentia,1480.58,,1214.0,1071.0,660.0,442.0,599.0,61.0,23.0,12.0
Libra,Ylisse,1480.08,1668.0,1434.0,526.0,352.0,241.0,215.0,161.0,135.0,116.0
Ullr,Jugdral,1479.72,,,,,,,,,99.0
Tailtiu,Jugdral,1479.54,703.0,432.0,605.0,337.0,188.0,247.0,218.0,125.0,150.0
Calill,Tellius,1479.05,261.0,280.0,370.0,227.0,163.0,220.0,168.0,159.0,194.0
Scáthach (Ulster),Jugdral,1478.93,430.0,248.0,361.0,491.0,394.0,477.0,97.0,108.0,93.0
Miriel,Ylisse,1478.64,1437.0,1011.0,1175.0,749.0,691.0,114.0,85.0,55.0,47.0
Klein,Elibe,1478.56,258.0,911.0,725.0,297.0,217.0,234.0,152.0,117.0,99.0
Ótr (Otr),Heroes,1478.46,,,,,254.0,251.0,145.0,77.0,89.0
Mamori/Draug,TMS #FE,1476.29,,,,448.0,206.0,184.0,128.0,93.0,84.0
Norne,Archanea,1476.18,607.0,421.0,524.0,173.0,189.0,230.0,140.0,114.0,104.0
Kana (M),Fates,1476.12,1380.0,2284.0,510.0,237.0,138.0,167.0,130.0,120.0,87.0
Rath,Elibe,1474.67,1544.0,2370.0,3091.0,1204.0,143.0,136.0,84.0,81.0,90.0
Ricken,Ylisse,1474.58,1235.0,982.0,1020.0,507.0,408.0,491.0,92.0,54.0,38.0
Nótt (Nott),Heroes,1474.01,,,,,,402.0,138.0,88.0,79.0
Luthier,Valentia,1473.98,104.0,1106.0,1506.0,1121.0,1233.0,141.0,116.0,106.0,94.0
Nergal,Elibe,1473.72,262.0,430.0,591.0,435.0,327.0,351.0,295.0,255.0,39.0
Artur,Magvel,1473.68,712.0,710.0,735.0,603.0,428.0,184.0,164.0,93.0,96.0
Gonzalez,Elibe,1472.27,767.0,857.0,667.0,519.0,529.0,571.0,85.0,52.0,64.0
Giffca,Tellius,1472.21,177.0,211.0,337.0,214.0,189.0,341.0,185.0,116.0,107.0
Nanna,Jugdral,1471.9,596.0,742.0,369.0,199.0,206.0,192.0,156.0,147.0,148.0
Kiragi,Fates,1471.75,881.0,733.0,729.0,413.0,374.0,495.0,50.0,95.0,62.0
Rhajat,Fates,1471.45,2640.0,1406.0,975.0,353.0,188.0,203.0,103.0,83.0,73.0
Cain (FE01/11),Archanea,1469.4,1663.0,516.0,661.0,377.0,198.0,196.0,92.0,128.0,100.0
Nolan,Tellius,1468.64,297.0,274.0,196.0,207.0,211.0,228.0,203.0,190.0,162.0
Ashnard,Tellius,1467.61,465.0,983.0,1336.0,1027.0,130.0,105.0,84.0,77.0,74.0
Helbindi,Heroes,1467.45,,,1257.0,460.0,219.0,201.0,196.0,165.0,79.0
Múspell (Muspell),Heroes,1466.65,,,,,,215.0,183.0,116.0,92.0
Sumeragi,Fates,1466.38,520.0,754.0,1003.0,297.0,161.0,239.0,134.0,99.0,101.0
Gerik,Magvel,1466.13,1489.0,1274.0,1889.0,251.0,128.0,175.0,130.0,109.0,113.0
Astrid,Tellius,1466.03,1018.0,1445.0,1441.0,735.0,595.0,135.0,109.0,82.0,53.0
Dheginsea,Tellius,1465.59,231.0,546.0,816.0,840.0,195.0,190.0,86.0,102.0,100.0
Dorcas,Elibe,1463.66,12083.0,1372.0,730.0,327.0,271.0,153.0,67.0,90.0,57.0
Gregor,Ylisse,1462.67,1456.0,968.0,976.0,529.0,496.0,632.0,65.0,50.0,49.0
Leila,Elibe,1462.4,1069.0,1270.0,1581.0,1266.0,121.0,85.0,63.0,73.0,46.0
Nader,Fodlan,1461.38,,,,261.0,212.0,152.0,125.0,89.0,119.0
Perceval,Elibe,1460.83,677.0,696.0,1049.0,217.0,165.0,122.0,123.0,106.0,99.0
Elice,Archanea,1460.57,519.0,637.0,938.0,659.0,251.0,339.0,151.0,53.0,43.0
Zeke,Valentia,1460.22,240.0,1034.0,1059.0,466.0,289.0,155.0,119.0,90.0,66.0
Echidna,Elibe,1459.59,662.0,670.0,868.0,182.0,155.0,162.0,97.0,115.0,88.0
Boey,Valentia,1459.28,138.0,626.0,369.0,226.0,157.0,225.0,114.0,108.0,115.0
Lugh,Elibe,1459.18,1119.0,1038.0,1131.0,273.0,155.0,185.0,93.0,130.0,152.0
Legault,Elibe,1458.55,1162.0,1276.0,381.0,256.0,188.0,146.0,140.0,143.0,172.0
Clarine,Elibe,1458.39,1044.0,389.0,429.0,223.0,179.0,171.0,129.0,136.0,124.0
Shahid,Fodlan,1458.29,,,,,,,207.0,87.0,68.0
Dew,Jugdral,1457.72,326.0,249.0,351.0,296.0,208.0,213.0,195.0,178.0,39.0
Hayato,Fates,1457.46,644.0,423.0,453.0,235.0,183.0,276.0,151.0,142.0,36.0
Hugh,Elibe,1457.35,538.0,337.0,396.0,470.0,348.0,394.0,89.0,72.0,74.0
Death Knight,Fodlan,1456.69,,,,506.0,185.0,210.0,122.0,98.0,74.0
Arthur (FE14),Fates,1455.76,1704.0,474.0,435.0,177.0,169.0,165.0,94.0,84.0,100.0
Leon,Valentia,1455.73,52.0,930.0,507.0,328.0,157.0,150.0,118.0,128.0,87.0
Roland,Elibe,1455.54,,,,,134.0,133.0,76.0,190.0,75.0
Dorothy,Elibe,1455.14,271.0,222.0,228.0,215.0,200.0,296.0,272.0,58.0,67.0
Valter,Magvel,1454.44,619.0,547.0,608.0,332.0,199.0,277.0,165.0,122.0,83.0
Ashunera,Tellius,1453.2,221.0,363.0,467.0,282.0,236.0,300.0,159.0,163.0,123.0
Altena,Jugdral,1452.65,294.0,744.0,1928.0,222.0,181.0,209.0,162.0,131.0,166.0
Natalie,Elibe,1452.56,,,,,142.0,251.0,125.0,180.0,81.0
Metodey,Fodlan,1451.48,,,,282.0,232.0,181.0,134.0,96.0,56.0
Laurent,Ylisse,1449.33,577.0,317.0,384.0,371.0,289.0,346.0,367.0,44.0,35.0
Gromell,Tellius,1449.16,,,,,269.0,208.0,144.0,93.0,67.0
Oliver,Tellius,1448.8,902.0,482.0,486.0,247.0,190.0,228.0,130.0,112.0,73.0
Machyua,Jugdral,1447.84,256.0,193.0,235.0,185.0,167.0,220.0,180.0,184.0,161.0
Yarne,Ylisse,1446.11,1405.0,1182.0,1279.0,160.0,129.0,137.0,94.0,80.0,72.0
Medeus,Archanea,1445.92,169.0,302.0,653.0,429.0,260.0,467.0,126.0,54.0,43.0
Forde,Magvel,1445.56,563.0,260.0,303.0,258.0,211.0,277.0,191.0,195.0,57.0
Lance,Elibe,1445.22,303.0,198.0,185.0,205.0,153.0,137.0,154.0,153.0,133.0
Mordecai,Tellius,1445.02,885.0,918.0,984.0,279.0,161.0,215.0,118.0,132.0,87.0
Radd,Archanea,1443.78,321.0,183.0,357.0,245.0,174.0,195.0,175.0,115.0,152.0
Nasir,Tellius,1443.62,217.0,414.0,543.0,298.0,164.0,212.0,130.0,169.0,126.0
Lorenz (FE01/11),Archanea,1442.76,392.0,413.0,503.0,316.0,133.0,159.0,160.0,126.0,128.0
Louise,Elibe,1442.75,659.0,3340.0,9274.0,293.0,163.0,85.0,88.0,79.0,51.0
Virion,Ylisse,1442.7,1548.0,371.0,389.0,238.0,141.0,185.0,112.0,99.0,99.0
Misha,Jugdral,1442.24,166.0,159.0,175.0,121.0,126.0,215.0,156.0,162.0,137.0
Maria,Archanea,1441.41,412.0,397.0,454.0,250.0,147.0,197.0,97.0,106.0,100.0
Dart,Elibe,1440.26,470.0,613.0,520.0,275.0,187.0,194.0,122.0,131.0,118.0
Nina,Fates,1440.04,1784.0,1342.0,608.0,196.0,131.0,123.0,84.0,68.0,78.0
Oscar,Tellius,1439.23,967.0,306.0,300.0,144.0,163.0,159.0,107.0,82.0,63.0
Almedha,Tellius,1438.89,93.0,88.0,199.0,112.0,92.0,143.0,96.0,258.0,239.0
Arete,Fates,1438.0,579.0,902.0,1555.0,473.0,338.0,96.0,47.0,30.0,31.0
Marcus (FE07),Elibe,1437.82,414.0,424.0,415.0,278.0,194.0,262.0,160.0,111.0,136.0
Eleanora,Elibe,1437.79,,,,,97.0,113.0,102.0,100.0,99.0
Deen (FE02/15),Valentia,1437.76,65.0,465.0,496.0,354.0,247.0,169.0,83.0,44.0,73.0
Castor,Archanea,1437.74,380.0,246.0,332.0,242.0,147.0,195.0,110.0,127.0,39.0
Est,Archanea,1437.7,399.0,527.0,694.0,381.0,154.0,222.0,113.0,94.0,79.0
Morva,Magvel,1435.6,,,,,176.0,140.0,95.0,93.0,95.0
Sara,Jugdral,1433.37,330.0,304.0,571.0,568.0,131.0,113.0,87.0,58.0,81.0
Iago,Fates,1433.2,518.0,428.0,619.0,404.0,115.0,123.0,80.0,73.0,107.0
Fernand,Valentia,1429.79,,673.0,705.0,540.0,394.0,87.0,78.0,62.0,35.0
Thales,Fodlan,1428.73,,,,277.0,159.0,199.0,133.0,64.0,76.0
Barst,Archanea,1427.79,841.0,352.0,411.0,246.0,155.0,180.0,68.0,55.0,52.0
Sirius,Archanea,1427.33,742.0,1024.0,1778.0,271.0,114.0,93.0,62.0,58.0,49.0
Mathilda,Valentia,1427.08,313.0,521.0,444.0,168.0,122.0,120.0,104.0,122.0,93.0
Saleh,Magvel,1426.97,272.0,395.0,413.0,360.0,240.0,132.0,68.0,89.0,121.0
Niðavellir (Nidavellir),Heroes,1425.19,,,,,,,,,71.0
Laura,Tellius,1425.1,312.0,239.0,236.0,170.0,168.0,225.0,143.0,179.0,180.0
Lowen,Elibe,1423.57,349.0,238.0,286.0,182.0,163.0,209.0,195.0,169.0,192.0
Guinivere (FE06),Elibe,1423.29,227.0,407.0,565.0,538.0,117.0,177.0,111.0,92.0,77.0
Levail,Tellius,1422.97,,,,,182.0,128.0,80.0,80.0,71.0
Duessel,Magvel,1422.53,412.0,720.0,702.0,526.0,102.0,158.0,76.0,60.0,65.0
Benny,Fates,1422.52,1055.0,786.0,836.0,487.0,402.0,87.0,62.0,59.0,45.0
Tobin,Valentia,1422.44,97.0,473.0,490.0,269.0,145.0,227.0,129.0,106.0,112.0
Jesse,Valentia,1422.42,43.0,205.0,196.0,180.0,158.0,236.0,184.0,167.0,158.0
Sheena,Archanea,1421.5,590.0,464.0,473.0,232.0,111.0,131.0,90.0,88.0,63.0
Sue,Elibe,1420.36,562.0,766.0,996.0,124.0,99.0,101.0,96.0,78.0,79.0
Holst,Fodlan,1420.19,,,,,,,262.0,56.0,44.0
Glen,Magvel,1419.75,242.0,217.0,226.0,221.0,232.0,357.0,215.0,246.0,25.0
Rolf ,Tellius,1419.61,916.0,497.0,427.0,195.0,148.0,130.0,75.0,81.0,64.0
Astram,Archanea,1419.44,237.0,421.0,624.0,236.0,118.0,138.0,63.0,75.0,49.0
Mikoto,Fates,1417.18,1228.0,1787.0,802.0,258.0,116.0,130.0,76.0,65.0,45.0
Nuibaba,Valentia,1416.47,,297.0,385.0,179.0,99.0,196.0,135.0,91.0,82.0
